TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
,83,tayo-tailor,tayo tailor,A professional fashion designer.,Male,hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated,70828783-ac38-48cf-b966-cfebc92ebd86,91fda42f96c398f0c98821fef9c7f1027012ce4506bafbb8ea27dd3d503c7a8e
,84,ajasco-comedian,ajasco comedian,A newbie comedian.,Male,hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,cdbeb0111850cb23abf1281eee57553908c9a9b4211a7bfc7e65c66a929d5220
,85,tobi-babyboy,tobi babyboy,A guy who does not like stress.,Male,hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries,3da592d4-5dec-4bc5-8412-f1b2a0269f95,bbcde0f1f4306d52c8b5e37b0ade2d325e272db8586f4013b93241d3c8a1abe6
,86,esther-sassy,esther sassy,A rude lady.,Female,hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace and earrings; expression: bold; strength: confident; weakness: judgemental,0642a25a-966d-446f-b021-a6d18e7fa0c5,d26b0fa17e818728aaaa36d8bbaaeba215f210492615254acbf3ef6534b2c5c5
,87,ozo-fineboi,ozo fineboi,A charming person.,Female,hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker and hookah; expression: blank; strength: charismatic; weakness: proud,f2286b4d-fae6-48cb-a686-badec16da1d8,8b0c203626f8011527b04068f975f5520d5b769c9d824d9fe7931d9a9d036943
,88,ade-party-girl,ade party girl,The life of every party.,Female,hair: brown; eyes: blue; teeth: gap-tooth; clothing: one sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive,7e3db30c-9faf-430d-ab48-b854fe0456b9,426138f99e048138ac5005b9170fc1f30248080e1e18b40309774fdfd66bf799
,89,john-casco,john casco,A very observant person.,Female,hair: black; eyes: blue; teeth: none; clothing: one-sleeved ankara top; accessories: earrings and necklace;  expression: shocked; strength: unpredictable; weakness: loner,2eff88ef-5bc2-4779-917a-533e952e2953,7487f0bf49e487e4dc11469d42f93ffd39c845f2b91aaa41b44859eef3fa2a48
,90,agha-uwa,agha uwa,A woman of high social class.,Female,hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap and full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner,8478a002-1eba-4a05-8b98-7170c6e39254,d49007f4e6cc3fd4d107375eea8bb2ecad17ad636190915b1feee2fcd19e2af7
,91,udeme-great,udeme great,A lady given to adventures.,Female,hair: purple; eyes: black; teeth: none; clothing: ankara top with blue sleeves; accessories: green necklace and green earrings; expression: clueless; strength: decisive; weakness: stubborn,d1476409-6f8b-4be9-8c93-24d9123749c5,fd031980b2b7485c991072580b92345ae45a74c19a635e253563be0d0fbe4aa3
,92,femi-tech-bro,femi tech bro,A rookie in the tech industry.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,4acfcda8a0acecd16eedc3d3d801dc5f57258b71c56fa2645eb5a85a02157582
,93,sai-baba,sai baba,A leader of a third-world country.,Female,hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings and necklace; expression: anxious; strength: trend spotter; weakness: distracted easily,fdfff369-5b57-4612-9f89-f5d408f24a35,bf6db3ebfe21884014b3e80f26c2240ad12efb058d6b0c1988a9c11b703d0263
,94,omo-pastor,omo pastor,A devout christian.,Female,hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings and green necklace; expression: happy; strength: happiness; weakness: too emotional,49e09559-61a6-41ff-811a-272721a7475c,0c4f9d07cc9f798a96534141c6e54097f03cad43a05c875b764d2463b592ca42
,95,obi-container,obi container,A rich South-Easterner.,Female,hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker,4b64cf48-94fa-4aed-8cf2-452974b48ee3,4770767f6f2ece53ad832a6d761e271804d8f3f36d3d81082416f7fb0681ecdc
,96,erigga-international,erigga international,Superstar from South-South.,Female,hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace and red scrunchie; expression: curious; strength: talented; weakness: overconfident,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,17a62bb4de07a382c0560671739affcc6ba50a4ac3106603698bd86c742dff91
,97,ayo-web3-bro,ayo web3 bro,Someone with no actual knowledge of basic computer principles.,Female,hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,288e6b7ee04b6771a4c07818264710c3d4a797da3ff5279ce27aeb83bb5133cb
,98,phoebe-queen-bee,phoebe queen bee,A self-centred woman.,Female,hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,2ae1cc14c7b713be53e65012b042e4e1c4529ff57ddfc648bb8dfd9d7ba65ebc
,99,rachel-warri-babe,rachel warri babe,A highly disciplined woman.,Female,hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,3681c5d34d2703d1d11efd260a40aaa87ba476f8a6ba21f98e3ce74660e3b426
,100,adun-preacher,adun preacher,A religious woman.,Female,hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet and hookah;  expression: blank; strength: bold; weakness: fake,cc4dfedf-c343-48db-ad67-e39452ec2380,dc28c3364b083604ee303b67b4adb1aa95b34fe507214af95021eb7c2143c1cd
TEAM CHISEL,101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth.,Female,hair: brown; eyes: opened; teeth: white; clothing: ankara print; accessories:none; expression: staring; strength: bold and outspoken; weakness: pride,fbf43611-f267-4cba-bf4b-a3ffdc122589,76cf881627ad0b894f704b439edf5334e4a3e4064897f038cfad8000afaf93b9
,102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl,e7c32b06-7022-49b4-bbe5-81e8c1d58583,a4830e1e2910ba561ce46621c3614d0a98809fa3e5f94ae92c189bf92a4ba577
,103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family.,Male,hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking,e57d8985-599e-49da-8d62-fc16b7ac93f2,49646cb4000ab5123ceda470abd62f3f6aa25e7c6f1075a9549087edbbd669cf
,104,farida-the-tivlady,farida the tivlady,Farida is a beautiful Tiv woman.,Female,hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking,31d3e229-003e-43c8-ba82-38f49cf58ccb,647124e59e78421cf32969f5594fb1992afa1e266d0798e62190fedb651f272e
,105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir.,Female,hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading,281f5bd7-5282-458b-9811-e369980e7dee,a56857e36173a770dc207349f5a1ed33cf985c9c81e8e1cfab387f9f93656a87
,106,nonso-the-igbogirl,nonso the igbogirl,Nonso is a hardworking Igbo girl.,Female,hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending,5cfa76df-8376-4505-af12-78af24f108d6,82306a0b05f8a6abf8dadd7ab576ff71748e79ee41c8c57d22fba570330f3f77
,107,shade-olori,shade olori,Shade loves soft life and makeup.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,215c5475be49c6c24226f51eb93c23488caa11d6208c4f39ca9b2014315bb1c7
,108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics.,Male,hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking,d96a93e7-17a4-4efe-b09b-02185cc81ce8,34490b3b2a0c098d97e99e2ca60725a97dd3f5f667d6aa7ccf7df1a58026d868
,109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events.,Male,hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none,030f665d-2cd7-4376-aef5-4030dad9f2d6,01944584b613d042608d8e57ba98716548382bea54a6fd7ae3502b8333e17a23
,110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a yoruba demon with excellent communication skills.,Male,hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals,e270e278-a9b5-408d-b527-d518239a997b,f32d26c96f2d9e4570c5744fb6c5c8d8ee105b5283ca31125a8fa50e1e7f5488
,111,nkechi-the-actress,nkechi the actress,Nkechi is an international actress that acts in hollywood.,Female,hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie,34b1136d-00b1-4f29-8a03-5b02291d47d5,50e5628e2383c75d3c33b9413aa157ee6112a1e7b6e9d4ea95c12e3f01911816
,112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam doing burea de change for a living.,Male,hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic,592eff9f-93b2-4452-a2ed-5d44ebc969db,8d805afdf5223167552925336c97b4902ba85d9a0a4e95ba125f37f43d6d5b9b
,113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty.,Female,hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive,d9477612-ad63-408e-8d12-24679c647b32,29ef66c5eecc4bb1081946b24fc6a843c660815790177cfecaf88c176381d60d
,114,tunde-the-boss,tunde the boss,Tunde is a boss that loves to take charge at work.,Male,hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,54e38e4ca6ed5ad8e4d83526dc6e1a932f841f2ff420ba59c43fcc4535d91ab7
,115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a barber that devotes time to perfect his craft.,Male,hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing,152758f3-9414-45a2-a809-95cb05a3de13,32abefcbb1cca47f4067c643761f8fefac7cfdf6e0df9d73a92b99cfdea7786a
,116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is can never be intimidated no matter the circumstance. ,Female,hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,7990e66b6ba298746a157ba394803b95af947994150e6e8df7f0bd4f1794e108
,117,kemi-foodie,kemi foodie,Kemi loves food and can also prepare good meals. ,Female,hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness,3116cb6f-14c4-4d5a-af57-54253b72a309,9562e95f0ce46fd35bcf77e9ecfa0db67f4e442665b6e8cee20de04389d3f9db
,118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths.,Female,hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious,a14df1c1-7a5a-4a33-8780-0fb01c593da6,0ce2a4b414c4373bc9bc77c7d87f3cabd8d904765e7a0de495086d6eb21ab215
,119,kayode-the-baller,kayode the baller,Kayode loves life and lives it.,Male,hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women,fe17bfdc-c251-4654-8313-1ab793e11748,ea7b3ae2d399a32ed1c99d1f7ecda835fbe09fbe7317cd11d1790f1a2a8d5220
,120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is.,Male,hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy,df295be1-1509-406e-a263-28a5dee0abca,182ec1aba8bdcb9eabc23c75350e3d65e982392ee599b5c4b74c492d4b49c750
TEAM BRAINBOX,121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader.,Male,hair: none; eyes: blue; teeth: none; clothing: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness: shy,7ebde325-8efc-4997-811a-b5686269929e,9861f6b7f03df22caa9930daab3955ab6b14293159923555f5c9d20459911852
,122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is such a sweet guy loves by all. ,Male,hair:none ;eyes: black; teeth:small open teeth; clothing: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger,c136a120-a339-4080-96ca-1c93845c5848,793e7f0a129b2938b67ab804f967f702f03b1743f3ed154de3e48bd7212316a5
,123,yakubu-village-chief,yakubu village chief,Yakubu is the best village chieftain.,Male,hair:none ;eyes: blue; teeth:open white teeth; clothing: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience,5b0c0d26-d204-4264-b579-081ff9df935b,1062ebf8a9beeff0715e20ddedce1c3757f0789eec29d58cc702e22384669783
,124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking cigarettes.,Male,hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothing: mixed colors ankara wear; accessories:none; expression:happy;  strength:strong;  weakness: anger,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,b52ec07262dd058eb7e60161e8d0a76878b9b4ceba691dd5482920a4e9e9c910
,125,johnathan-good-leader,johnathan the humanitarian ,Johnathan is very progressive young man.,Male,hair:punk bearded man ;eyes: closed; teeth:none; clothing: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride,241e3713-4ce3-48d0-827f-b282ae2db6c4,d035de9732211fae6e0571ac027fd5d5948ce0296aa1a389c14e8c3d725e78dc
,126,johnathan-genz-kid,johnathan genz kid,Johnathan is zealous young man.,Male,hair:none ;eyes: blue;teeth: white; clothing: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance,90c0ae09-a35f-42ad-b93c-dcf30169acd9,9781172575090e3c40762d75d76a3572485dadc3e2e42c33e4d4a56b9431b656
,127,eddy-the-community,eddy the community leader,Eddy has so much positive energy.,Male,hair:none ;eyes: blue; teeth:none; clothing: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional,5cabf9d9-882b-459e-9253-8c07eb045e2d,a9a67d536cb948d332fd33948aaf74b412702aec1bc03d66d044a25d80a99dfc
,128,olu-the-oba,olu the oba,Olu the great ruler in our land.,Male,hair: purple braided hair ;eyes: black; teeth: none; clothing: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,7a22204ef26577a6c321a05b7d644d82a4b6e8676bc40465b06ea1b5ae23df4a
,129,edu-the-biggest-trader,edu the biggest trader,Edu is the biggest merchant in west coast.,Male,hair:none ;eyes: blue; teeth:closed; clothing: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,db6096dcc03503274d2ed4dc0afd8dec973829c7fd994068e03b72df72d4b036
,130,james-importer-and-exporter,james importer and exporter,James is the sole importer and exporter of spare parts.,Male,hair:none ;eyes: blue; teeth:none; clothing: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride,22541251-022f-480c-8c1e-cf754dce16d6,be61f6f9751c8e9e2a1ed8c0f5ce69b107ba8f3c9ae02f373af8de4843d6eb72
,131,lanre-the-dreaded-guy,lanre the dreaded guy,Lanre has a great reputation.,Male,hair: none ;eyes: none; teeth:white; clothing: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger,66a054cd-5541-4000-98aa-8f2e9892d880,38328ec6da7087aeefcc581de783b959edb7dcb77262b5ee350625392020a0e5
,132,olamide-the-street-boy,olamide the street boy,Olamide has a sweet voice.,Male,hair:none ;eyes: white; teeth: none; clothing: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,325bbb329130925e9055fe73b536f93752f178b98b99b6df207a043b1c7ba8d5
,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair: yellow ;eyes: blue;teeth:none; clothing: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,d232b42c08b44ac64fd46e0b1ff78e5fbbd50bd19e2dc25bf19726602f3a7fc5
,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair: none ;eyes: none; teeth:white; clothing: none; accessories:cap; expression: serious face; strength:strong; weakness:none,c0857b11-bf0e-46a4-9108-b8eb93d83e74,37f6264fdf84ff94a73ab9f6483d5d20b8cbfd6d838f1a9cc91ffe1d11e66321
,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none ;eyes: blue; teeth:white; clothing: brown; accessories:cap; expression:happy; strength: strong; weakness:none,201a408c-7a2e-42d9-a62c-0136c885c211,f09ffd8f156bc95c5a4184e5675a0bcae25f631dd4b872263d6c32726546817e
,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none ;eyes: white; teeth: white; clothing: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none,b6a41ff1-51ce-42f7-9933-85d0a22ced68,c000c43ce2dcc6a44cc93c9e529b7a59804845e49d977ffeedcfde02ab3f1973
,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair: none ;eyes: white;teeth: white; clothing: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none,04036447-f43e-4bfb-9503-f55c9064b14e,476e2575e91d964e9637fc665aa3556bc5fee4a617273d7f4f14b1d66a9b95e8
,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow ;eyes: blue;teeth:none; clothing: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride,5d12847b-6d71-4691-8337-2e6ef3e283b2,7e07f7a82c9860885e929d278ac75b7186806de4fd85748bfaf19ceac956d1fc
,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair: none;eyes: none;teeth:none; clothing: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful,98035e8b-6540-4464-8a3c-fdac9f07b168,01853cfc116776eebcd1019e29a45d4b5ed1651c60d62e517b49c4454de40e97
,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair: none;eyes: none;teeth: white; clothing: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive,15309dc5-e483-4658-b503-db85ba2c1722,ce20a70dc76634f041d3fc86a4c2770bc7bc188050da5b1d766aa996fde6ecec
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,She is known for typically playing the drum for 5 hours per day without a break.,Female,hair: none; eyes: none; teeth: none; clothing: ankara with drum patterns; accessories: none; expression: sumg; strength: none; weakness: none,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,42e0f162a11a9c5f28372fa7bd24dd5d0bc01b0505d601b32a0f8ca934cf0a86
,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair: purple; eyes: none; teeth: none; clothing: black and blue ankara; accessories: none; expression: serious; strength: none; weakness: none,e564a43a-ef77-487d-a88e-749d20a09fd8,9e4a387bd3a70b98abee7e7868c2126c00ee2d9f489b436e77ff294263972c43
,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair: purple; eyes: none; teeth: none; clothing: black ankara with yellow and blue gear pattern; accessories: none; expression: chill; strength: none; weakness: none,6dc7e452-0626-4f4c-a28c-f5db3532e305,af3fb213a052da2e17ba030e169936b2df18e320dd2cf34fcff872cfb3771284
,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair: brown afro; eyes: none; teeth: none; clothing: black ankara with yellow peach and blue gear pattern; accessories: none; expression: unbothered; strength: none; weakness: none,221263d0-8775-49f8-bbf8-4b08b49e1482,5993f598df6aedc6720641de899f9274ba84d3d860ad5b8b3ec4a18b7bd387da
,145,akinyim-the-clown,akinyim the clown,"The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none,c1070dce-48a1-4ae8-b9a4-d070859a8377,aa4a7afdb37d967ab59ba364ebc285880290d9194d977ffb6db56e839cfca56d
,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none,c22489fe-574b-47f3-9667-c9c798b2d4df,98be7e0a758251b6f2bd6667cc3a9978e92d0d62d46cdaa2ef3fe7adf5c844f2
,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair: burgundy; eyes: none; teeth: none; clothing: black and kente patterned agbada; accessories: none; expression: sleepy; strength: none; weakness:none,1a91e778-d214-476b-a667-94e9ecb8b5ce,ca91963d0ebd9c5affe709814a8e75698460da7934a043360ed0ed4da96fc60e
,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair: face; eyes: none; teeth: none; clothing: yellow and blue ankara; accessories: none; expression: warm; strength: none; weakness: none,8177cf38-8284-4eb4-b19c-04473bcb3b5e,ce2bc46c1ca23430b81779cc5c1af561fe1f169e40f538de727f1d2c97cbea20
,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair: blue; eyes: none; teeth: none; clothing: green top with blue overalls; accessories: none; expression: fear; strength: none; weakness: none,0554bf35-f588-4009-aafc-ef875b878c29,a4261a9437b8ca5481dc7482f6dd0feb9d4e4a08abc1207ca27907ed7d04b4d0
,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair: brown; eyes: none; teeth: none; clothing: brown shirt with dog pattern; accessories: none; expression: smirking strength: none; weakness: none,33ba8e73-7949-4bc7-ba27-37ee1d573946,24c8c3144bb73c43a8b6ed2d733eddd3ad48e01b4a48306cba9528c2599cdff9
,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair: teal; eyes: none; teeth: none; clothing: purple shirt with yellow accent; accessories: none; expression: euphoric; strength: none; weakness: none,1fb33783-4898-48cf-8a73-f81afc71e1a8,6c0044552f32ef0cb9df462677b3c160998ccebcb0d34535cf5cffb85a2bb899
,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair: black; eyes: none; teeth: none; clothing: monostrap black ankara with yellow and red patterns; accessories: none; expression: playful; strength: none; weakness: none,7ba909bd-19a1-454d-a86c-a45e85cb94a6,869fe253ba387a9b0a763ac408d22086e91cf1983a2adc3a4ae6a76c4246095f
,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair: black; eyes: none; teeth: none; clothing: maroon agbada with yellow accents; accessories: none; expression: clueless; strength: none; weakness: none,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,db699a908b174a42bcb66653f16ab34d18c9388a05a1027af2f1f928d6ea5c1f
,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair: red; eyes: none; teeth: none; clothing: plain and patterned ankara shirt; accessories: none; expression: anxious; strength: none; weakness: none,36cd959f-d280-41f6-af76-765715c72527,87cfc7a5923aa7968a3d6c49e834a6251fc4a9724ae600de7c10f57a62ce22c0
,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair: black; eyes: none; teeth: none; clothing: yelow kente shirt; accessories: none; expression: cheerful; strength: none; weakness: none,9d262f55-73d7-4b95-9a82-42356dbb085c,cd2069f982dcf05880a13c75ab9e9f848aec04ce053a858ab9d4a3994504b6ca
,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair: brown; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: high; strength: none; weakness: none,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,8fd8020d8ea26e3f0c8bd5444ed00302b0d3289158625f4469b7330d0ccaa28d
,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair: burgundy; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: none; strength: none; weakness: none,88106b92-da30-46ad-a3cc-d528683b9e33,65ce64d9f54e69e7052612eecf4a7f1d3eac5320c31fe47d8c4f89e4affc79db
,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair: orange;  eyes: none; teeth: none; clothing: orange and blue denim; accessories: none; expression: unbothered; strength: none; weakness: none,66a09968-cb92-4378-a588-49947f68c537,96717105161ab4d1655ea5453c933b95872ea27f34d11f0538d338d5154e6045
,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair: blue; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,7c04f2394f833cc5b685e72c0bccb81bcf188316227107d06db6a932c25353da
,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair: red; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none,b07676a6-c611-410d-8426-46c9c525189a,d3be1bcd74673969b5eec07274b631298e269620256ea1ea07600ff73a047c27
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,31884d9f64c7e4eded05c6cf9e4da3145c9de206878e392d908732cad6663433
,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake,ac721b71-cbc5-425c-851f-ee826973f0b9,2c0d38494c3717de1625e9f546972803194add6ce143a76968abd965c1bc6b5f
,163,bimpe-the-runzgirl,bimpe the runzgirl,Be careful with Bimpe because she cac be sensitive.,Female,hair: purple dreadlock; eyes: none; teeth: none; clothing: one arm ankara; expression: mischievious; accessories: eye glasses; strength: humanitarian; weakness: opposite sex,eaa7662f-6926-468a-9add-e791916ae42b,37dadaacd2d57b670140c73bf77ad54bc5a45739efb8da3dabf1d5e256e1ce0a
